;;;Q-Maat;;A-Maat;;Verschil;;Marges;
Column1;ratio-x;ratio-y;x;y;x4;y5;x6;y7;x8;y9
Q00;2;3;720;1080;841,00 mm;1189,00 mm;121,00;109,00;60,5;54,5
Q01;3;4;540;720;594,00 mm;841,00 mm;54,00;121,00;27;60,5
Q02;2;3;360;540;420,00 mm;594,00 mm;60,00;54,00;30;27
Q03;3;4;270;360;297,00 mm;420,00 mm;27,00;60,00;13,5;30
Q04;2;3;180;270;210,00 mm;297,00 mm;30,00;27,00;15;13,5
Q05;3;4;135;180;148,00 mm;210,00 mm;13,00;30,00;6,5;15
Q06;2;3;90;135;105,00 mm;148,00 mm;15,00;13,00;7,5;6,5
Q07;3;4;62,5;90;74,00 mm;105,00 mm;11,50;15,00;5,75;7,5
Q08;2;3;45;62,5;52,00 mm;74,00 mm;7,00;11,50;3,5;5,75
Q09;3;4;31,25;45;37,00 mm;52,00 mm;5,75;7,00;2,875;3,5
Q10;2;3;22,5;31,25;26,00 mm;37,00 mm;3,50;5,75;1,75;2,875
Q11;3;4;15,625;22,5;;;-15,63;-22,50;-7,8125;-11,25
Q12;2;3;11,25;15,625;;;-11,25;-15,63;-5,625;-7,8125
